#           eng            dos          occup          e_sum
      -10.00000        0.00000        0.00000        0.00000
       -9.96000        0.00000        0.00000        0.00000
       -9.92000        0.00000        0.00000        0.00000
       -9.88000        0.00000        0.00000        0.00000
       -9.84000        0.00000        0.00000        0.00000
       -9.80000        0.00000        0.00000        0.00000
       -9.76000        0.00000        0.00000        0.00000
       -9.72000        0.00000        0.00000        0.00000
       -9.68000        0.00000        0.00000        0.00000
       -9.64000        0.00000        0.00000        0.00000
       -9.60000        0.00000        0.00000        0.00000
       -9.56000        0.00000        0.00000        0.00000
       -9.52000        0.00000        0.00000        0.00000
       -9.48000        0.00000        0.00000        0.00000
       -9.44000        0.00000        0.00000        0.00000
       -9.40000        0.00000        0.00000        0.00000
       -9.36000        0.00000        0.00000        0.00000
       -9.32000        0.00000        0.00000        0.00000
       -9.28000        0.00000        0.00000        0.00000
       -9.24000        0.00000        0.00000        0.00000
       -9.20000        0.00000        0.00000        0.00000
       -9.16000        0.00000        0.00000        0.00000
       -9.12000        0.00000        0.00000        0.00000
       -9.08000        0.00000        0.00000        0.00000
       -9.04000        0.00000        0.00000        0.00000
       -9.00000        0.00000        0.00000        0.00000
       -8.96000        0.00000        0.00000        0.00000
       -8.92000        0.00000        0.00000        0.00000
       -8.88000        0.00000        0.00000        0.00000
       -8.84000        0.00000        0.00000        0.00000
       -8.80000        0.00000        0.00000        0.00000
       -8.76000        0.00000        0.00000        0.00000
       -8.72000        0.00000        0.00000        0.00000
       -8.68000        0.00000        0.00000        0.00000
       -8.64000        0.00000        0.00000        0.00000
       -8.60000        0.00000        0.00000        0.00000
       -8.56000        0.00000        0.00000        0.00000
       -8.52000        0.00000        0.00000        0.00000
       -8.48000        0.00000        0.00000        0.00000
       -8.44000        0.00000        0.00000        0.00000
       -8.40000        0.00000        0.00000        0.00000
       -8.36000        0.00000        0.00000        0.00000
       -8.32000        0.00000        0.00000        0.00000
       -8.28000        0.00000        0.00000        0.00000
       -8.24000        0.00000        0.00000        0.00000
       -8.20000        0.00000        0.00000        0.00000
       -8.16000        0.00000        0.00000        0.00000
       -8.12000        0.00000        0.00000        0.00000
       -8.08000        0.00000        0.00000        0.00000
       -8.04000        0.00000        0.00000        0.00000
       -8.00000        0.00000        0.00000        0.00000
       -7.96000        0.00000        0.00000        0.00000
       -7.92000        0.00000        0.00000        0.00000
       -7.88000        0.00000        0.00000        0.00000
       -7.84000        0.00000        0.00000        0.00000
       -7.80000        0.00000        0.00000        0.00000
       -7.76000        0.00000        0.00000        0.00000
       -7.72000        0.00000        0.00000        0.00000
       -7.68000        0.00000        0.00000        0.00000
       -7.64000        0.00000        0.00000        0.00000
       -7.60000        0.00000        0.00000        0.00000
       -7.56000        0.00000        0.00000        0.00000
       -7.52000        0.00001        0.00000        0.00000
       -7.48000        0.00006        0.00000        0.00000
       -7.44000        0.00020        0.00001        0.00002
       -7.40000        0.00062        0.00002        0.00006
       -7.36000        0.00166        0.00006        0.00017
       -7.32000        0.00383        0.00017        0.00045
       -7.28000        0.00775        0.00039        0.00105
       -7.24000        0.01386        0.00082        0.00218
       -7.20000        0.02214        0.00153        0.00410
       -7.16000        0.03202        0.00261        0.00703
       -7.12000        0.04261        0.00410        0.01110
       -7.08000        0.05300        0.00602        0.01636
       -7.04000        0.06261        0.00833        0.02280
       -7.00000        0.07126        0.01101        0.03034
       -6.96000        0.07908        0.01402        0.03890
       -6.92000        0.08627        0.01733        0.04844
       -6.88000        0.09296        0.02092        0.05891
       -6.84000        0.09916        0.02476        0.07027
       -6.80000        0.10496        0.02884        0.08250
       -6.76000        0.11068        0.03316        0.09558
       -6.72000        0.11649        0.03770        0.10954
       -6.68000        0.12222        0.04248        0.12441
       -6.64000        0.12745        0.04747        0.14015
       -6.60000        0.13213        0.05266        0.15671
       -6.56000        0.13678        0.05804        0.17408
       -6.52000        0.14202        0.06361        0.19231
       -6.48000        0.14782        0.06941        0.21150
       -6.44000        0.15344        0.07544        0.23169
       -6.40000        0.15807        0.08167        0.25281
       -6.36000        0.16177        0.08807        0.27474
       -6.32000        0.16550        0.09461        0.29742
       -6.28000        0.17038        0.10133        0.32097
       -6.24000        0.17653        0.10826        0.34559
       -6.20000        0.18293        0.11545        0.37140
       -6.16000        0.18823        0.12288        0.39835
       -6.12000        0.19189        0.13049        0.42624
       -6.08000        0.19462        0.13822        0.45488
       -6.04000        0.19790        0.14607        0.48427
       -6.00000        0.20301        0.15408        0.51461
       -5.96000        0.21001        0.16233        0.54622
       -5.92000        0.21751        0.17088        0.57932
       -5.88000        0.22363        0.17971        0.61382
       -5.84000        0.22745        0.18874        0.64945
       -5.80000        0.22967        0.19789        0.68588
       -5.76000        0.23204        0.20712        0.72302
       -5.72000        0.23621        0.21648        0.76106
       -5.68000        0.24294        0.22605        0.80039
       -5.64000        0.25157        0.23594        0.84142
       -5.60000        0.26018        0.24618        0.88431
       -5.56000        0.26674        0.25672        0.92890
       -5.52000        0.27045        0.26748        0.97476
       -5.48000        0.27237        0.27833        1.02148
       -5.44000        0.27464        0.28927        1.06898
       -5.40000        0.27912        0.30034        1.11751
       -5.36000        0.28647        0.31164        1.16755
       -5.32000        0.29593        0.32328        1.21958
       -5.28000        0.30558        0.33532        1.27384
       -5.24000        0.31321        0.34770        1.33016
       -5.20000        0.31753        0.36033        1.38805
       -5.16000        0.31916        0.37307        1.44694
       -5.12000        0.32034        0.38585        1.50656
       -5.08000        0.32365        0.39872        1.56709
       -5.04000        0.33067        0.41180        1.62914
       -5.00000        0.34145        0.42523        1.69346
       -4.96000        0.35447        0.43914        1.76067
       -4.92000        0.36717        0.45358        1.83098
       -4.88000        0.37703        0.46848        1.90409
       -4.84000        0.38283        0.48369        1.97931
       -4.80000        0.38540        0.49906        2.05590
       -4.76000        0.38744        0.51451        2.13352
       -4.72000        0.39216        0.53009        2.21241
       -4.68000        0.40162        0.54595        2.29340
       -4.64000        0.41581        0.56229        2.37752
       -4.60000        0.43276        0.57925        2.46559
       -4.56000        0.44951        0.59690        2.55791
       -4.52000        0.46320        0.61517        2.65416
       -4.48000        0.47210        0.63390        2.75350
       -4.44000        0.47672        0.65288        2.85496
       -4.40000        0.48021        0.67202        2.95797
       -4.36000        0.48708        0.69134        3.06281
       -4.32000        0.50079        0.71108        3.17070
       -4.28000        0.52173        0.73151        3.28329
       -4.24000        0.54736        0.75288        3.40196
       -4.20000        0.57369        0.77530        3.52738
       -4.16000        0.59689        0.79873        3.65929
       -4.12000        0.61458        0.82298        3.79674
       -4.08000        0.62698        0.84783        3.93851
       -4.04000        0.63782        0.87312        4.08382
       -4.00000        0.65383        0.89892        4.23314
       -3.96000        0.68240        0.92559        4.38868
       -3.92000        0.72793        0.95374        4.55410
       -3.88000        0.78879        0.98403        4.73344
       -3.84000        0.85759        1.01695        4.92965
       -3.80000        0.92595        1.05263        5.14373
       -3.76000        0.99096        1.09098        5.37523
       -3.72000        1.05779        1.13193        5.62409
       -3.68000        1.13522        1.17574        5.89214
       -3.64000        1.22680        1.22294        6.18286
       -3.60000        1.32484        1.27398        6.49926
       -3.56000        1.41237        1.32879        6.84108
       -3.52000        1.47217        1.38659        7.20358
       -3.48000        1.49651        1.44608        7.57868
       -3.44000        1.49082        1.50591        7.95801
       -3.40000        1.46917        1.56514        8.33576
       -3.36000        1.44538        1.62342        8.70978
