#         width            dos          occup          e_sum
        0.13606        2.19017        8.00000       47.53045
        0.13878        2.20157        8.00183       47.54490
        0.14150        2.21276        8.00366       47.55942
        0.14422        2.22374        8.00550       47.57402
        0.14694        2.23450        8.00735       47.58869
        0.14966        2.24504        8.00921       47.60342
        0.15238        2.25534        8.01107       47.61820
        0.15510        2.26541        8.01294       47.63303
        0.15783        2.27524        8.01481       47.64791
        0.16055        2.28485        8.01669       47.66283
        0.16327        2.29422        8.01856       47.67778
        0.16599        2.30337        8.02045       47.69277
        0.16871        2.31229        8.02233       47.70778
        0.17143        2.32099        8.02421       47.72283
        0.17415        2.32948        8.02610       47.73789
        0.17687        2.33777        8.02799       47.75298
        0.17960        2.34585        8.02988       47.76808
        0.18232        2.35374        8.03177       47.78320
        0.18504        2.36145        8.03366       47.79833
        0.18776        2.36898        8.03555       47.81348
        0.19048        2.37634        8.03744       47.82863
        0.19320        2.38354        8.03933       47.84380
        0.19592        2.39059        8.04122       47.85898
        0.19864        2.39749        8.04310       47.87416
        0.20136        2.40426        8.04499       47.88935
        0.20409        2.41089        8.04688       47.90455
        0.20681        2.41741        8.04877       47.91975
        0.20953        2.42381        8.05065       47.93496
        0.21225        2.43011        8.05254       47.95017
        0.21497        2.43630        8.05442       47.96538
        0.21769        2.44241        8.05630       47.98060
        0.22041        2.44842        8.05818       47.99582
        0.22313        2.45436        8.06006       48.01105
        0.22585        2.46022        8.06194       48.02627
        0.22858        2.46601        8.06382       48.04150
        0.23130        2.47174        8.06570       48.05673
        0.23402        2.47741        8.06757       48.07196
        0.23674        2.48302        8.06944       48.08719
        0.23946        2.48858        8.07131       48.10242
        0.24218        2.49410        8.07318       48.11765
        0.24490        2.49957        8.07505       48.13287
        0.24762        2.50500        8.07691       48.14809
        0.25034        2.51040        8.07877       48.16331
        0.25307        2.51577        8.08063       48.17853
        0.25579        2.52110        8.08249       48.19374
        0.25851        2.52641        8.08435       48.20895
        0.26123        2.53169        8.08620       48.22415
        0.26395        2.53695        8.08805       48.23934
        0.26667        2.54219        8.08989       48.25452
        0.26939        2.54741        8.09174       48.26970
        0.27211        2.55261        8.09358       48.28486
