#         width            dos          occup          e_sum
        0.13606        1.64390        8.00000       61.17318
        0.13878        1.65231        8.00093       61.18272
        0.14150        1.66075        8.00189       61.19250
        0.14422        1.66921        8.00287       61.20252
        0.14694        1.67766        8.00387       61.21276
        0.14966        1.68610        8.00490       61.22323
        0.15238        1.69450        8.00594       61.23393
        0.15510        1.70286        8.00701       61.24485
        0.15783        1.71117        8.00810       61.25598
        0.16055        1.71942        8.00921       61.26732
        0.16327        1.72759        8.01034       61.27888
        0.16599        1.73567        8.01149       61.29063
        0.16871        1.74367        8.01265       61.30258
        0.17143        1.75158        8.01384       61.31473
        0.17415        1.75938        8.01504       61.32706
        0.17687        1.76708        8.01627       61.33957
        0.17960        1.77466        8.01750       61.35226
        0.18232        1.78214        8.01876       61.36512
        0.18504        1.78950        8.02003       61.37816
        0.18776        1.79673        8.02132       61.39135
        0.19048        1.80385        8.02262       61.40470
        0.19320        1.81085        8.02393       61.41820
        0.19592        1.81773        8.02526       61.43184
        0.19864        1.82449        8.02661       61.44563
        0.20136        1.83112        8.02796       61.45956
        0.20409        1.83764        8.02933       61.47361
        0.20681        1.84403        8.03071       61.48780
        0.20953        1.85031        8.03211       61.50210
        0.21225        1.85647        8.03351       61.51652
        0.21497        1.86252        8.03492       61.53106
        0.21769        1.86845        8.03635       61.54570
        0.22041        1.87427        8.03778       61.56045
        0.22313        1.87999        8.03922       61.57529
        0.22585        1.88559        8.04067       61.59023
        0.22858        1.89109        8.04213       61.60527
        0.23130        1.89650        8.04360       61.62038
        0.23402        1.90180        8.04508       61.63558
        0.23674        1.90701        8.04656       61.65086
        0.23946        1.91212        8.04805       61.66621
        0.24218        1.91714        8.04954       61.68163
        0.24490        1.92208        8.05104       61.69712
        0.24762        1.92693        8.05255       61.71266
        0.25034        1.93170        8.05406       61.72827
        0.25307        1.93639        8.05557       61.74394
        0.25579        1.94100        8.05709       61.75965
        0.25851        1.94554        8.05862       61.77541
        0.26123        1.95001        8.06014       61.79122
        0.26395        1.95441        8.06167       61.80707
        0.26667        1.95875        8.06321       61.82296
        0.26939        1.96303        8.06474       61.83888
        0.27211        1.96724        8.06628       61.85484
