#           eng            dos          occup          e_sum
      -10.00000        0.00000        0.00000        0.00000
       -9.96000        0.00000        0.00000        0.00000
       -9.92000        0.00000        0.00000        0.00000
       -9.88000        0.00000        0.00000        0.00000
       -9.84000        0.00000        0.00000        0.00000
       -9.80000        0.00000        0.00000        0.00000
       -9.76000        0.00000        0.00000        0.00000
       -9.72000        0.00000        0.00000        0.00000
       -9.68000        0.00000        0.00000        0.00000
       -9.64000        0.00000        0.00000        0.00000
       -9.60000        0.00000        0.00000        0.00000
       -9.56000        0.00000        0.00000        0.00000
       -9.52000        0.00000        0.00000        0.00000
       -9.48000        0.00000        0.00000        0.00000
       -9.44000        0.00000        0.00000        0.00000
       -9.40000        0.00000        0.00000        0.00000
       -9.36000        0.00000        0.00000        0.00000
       -9.32000        0.00000        0.00000        0.00000
       -9.28000        0.00000        0.00000        0.00000
       -9.24000        0.00000        0.00000        0.00000
       -9.20000        0.00000        0.00000        0.00000
       -9.16000        0.00000        0.00000        0.00000
       -9.12000        0.00000        0.00000        0.00000
       -9.08000        0.00000        0.00000        0.00000
       -9.04000        0.00000        0.00000        0.00000
       -9.00000        0.00000        0.00000        0.00000
       -8.96000        0.00000        0.00000        0.00000
       -8.92000        0.00000        0.00000        0.00000
       -8.88000        0.00000        0.00000        0.00000
       -8.84000        0.00000        0.00000        0.00000
       -8.80000        0.00000        0.00000        0.00000
       -8.76000        0.00000        0.00000        0.00000
       -8.72000        0.00000        0.00000        0.00000
       -8.68000        0.00000        0.00000        0.00000
       -8.64000        0.00000        0.00000        0.00000
       -8.60000        0.00000        0.00000        0.00000
       -8.56000        0.00000        0.00000        0.00000
       -8.52000        0.00000        0.00000        0.00000
       -8.48000        0.00000        0.00000        0.00000
       -8.44000        0.00002        0.00000        0.00000
       -8.40000        0.00011        0.00000        0.00000
       -8.36000        0.00039        0.00001        0.00001
       -8.32000        0.00121        0.00004        0.00005
       -8.28000        0.00316        0.00012        0.00015
       -8.24000        0.00694        0.00032        0.00038
       -8.20000        0.01284        0.00071        0.00085
       -8.16000        0.02001        0.00136        0.00163
       -8.12000        0.02631        0.00230        0.00275
       -8.08000        0.02938        0.00342        0.00411
       -8.04000        0.02848        0.00459        0.00552
       -8.00000        0.02542        0.00567        0.00685
       -7.96000        0.02363        0.00664        0.00809
       -7.92000        0.02569        0.00762        0.00941
       -7.88000        0.03134        0.00875        0.01102
       -7.84000        0.03759        0.01013        0.01304
       -7.80000        0.04121        0.01172        0.01539
       -7.76000        0.04194        0.01339        0.01789
       -7.72000        0.04374        0.01509        0.02052
       -7.68000        0.05240        0.01698        0.02358
       -7.64000        0.07059        0.01941        0.02768
       -7.60000        0.09392        0.02270        0.03335
       -7.56000        0.11201        0.02685        0.04057
       -7.52000        0.11482        0.03145        0.04858
       -7.48000        0.09969        0.03580        0.05615
       -7.44000        0.07298        0.03927        0.06221
       -7.40000        0.04501        0.04162        0.06631
       -7.36000        0.02350        0.04296        0.06865
       -7.32000        0.01096        0.04362        0.06981
       -7.28000        0.00651        0.04394        0.07041
       -7.24000        0.00934        0.04424        0.07102
       -7.20000        0.02061        0.04480        0.07230
       -7.16000        0.04250        0.04603        0.07507
       -7.12000        0.07462        0.04834        0.08031
       -7.08000        0.11055        0.05205        0.08872
       -7.04000        0.13847        0.05708        0.10013
       -7.00000        0.14802        0.06288        0.11330
       -6.96000        0.13856        0.06866        0.12649
       -6.92000        0.12088        0.07385        0.13846
       -6.88000        0.10925        0.07842        0.14919
       -6.84000        0.11047        0.08277        0.15972
       -6.80000        0.11946        0.08736        0.17108
       -6.76000        0.12533        0.09228        0.18343
       -6.72000        0.12189        0.09726        0.19601
       -6.68000        0.11308        0.10196        0.20804
       -6.64000        0.10826        0.10636        0.21951
       -6.60000        0.11227        0.11074        0.23119
       -6.56000        0.12002        0.11539        0.24380
       -6.52000        0.12070        0.12025        0.25709
       -6.48000        0.10720        0.12486        0.26976
       -6.44000        0.08164        0.12866        0.28023
       -6.40000        0.05283        0.13134        0.28763
       -6.36000        0.02952        0.13296        0.29210
       -6.32000        0.01639        0.13384        0.29456
       -6.28000        0.01518        0.13443        0.29630
       -6.24000        0.02793        0.13524        0.29887
       -6.20000        0.05786        0.13690        0.30420
       -6.16000        0.10576        0.14012        0.31462
       -6.12000        0.16416        0.14550        0.33206
       -6.08000        0.21633        0.15317        0.35689
       -6.04000        0.24440        0.16248        0.38712
       -6.00000        0.24201        0.17230        0.41908
       -5.96000        0.21883        0.18156        0.44938
       -5.92000        0.19159        0.18976        0.47647
       -5.88000        0.17109        0.19698        0.50067
       -5.84000        0.15900        0.20356        0.52302
       -5.80000        0.15519        0.20981        0.54460
       -5.76000        0.16352        0.21614        0.56679
       -5.72000        0.18693        0.22310        0.59163
       -5.68000        0.21805        0.23120        0.62089
       -5.64000        0.23843        0.24040        0.65436
       -5.60000        0.23079        0.24989        0.68899
       -5.56000        0.19322        0.25846        0.72029
       -5.52000        0.14136        0.26516        0.74484
       -5.48000        0.09745        0.26987        0.76224
       -5.44000        0.07687        0.27327        0.77501
       -5.40000        0.08178        0.27637        0.78701
       -5.36000        0.10269        0.28003        0.80146
       -5.32000        0.12469        0.28460        0.81965
       -5.28000        0.13549        0.28985        0.84064
       -5.24000        0.13196        0.29524        0.86226
       -5.20000        0.12143        0.30031        0.88273
       -5.16000        0.11684        0.30504        0.90204
       -5.12000        0.12914        0.30989        0.92222
       -5.08000        0.16219        0.31565        0.94659
       -5.04000        0.21282        0.32310        0.97848
       -5.00000        0.27429        0.33282        1.02042
       -4.96000        0.33826        0.34508        1.07369
       -4.92000        0.39334        0.35976        1.13789
       -4.88000        0.42503        0.37623        1.21026
       -4.84000        0.42231        0.39330        1.28562
       -4.80000        0.38688        0.40957        1.35780
       -4.76000        0.33516        0.42403        1.42232
       -4.72000        0.29102        0.43649        1.47842
       -4.68000        0.27556        0.44770        1.52958
       -4.64000        0.29881        0.45906        1.58223
       -4.60000        0.35322        0.47203        1.64314
       -4.56000        0.41277        0.48739        1.71583
       -4.52000        0.44442        0.50467        1.79799
       -4.48000        0.42869        0.52230        1.88202
       -4.44000        0.37387        0.53843        1.95923
       -4.40000        0.31209        0.55211        2.02507
       -4.36000        0.28042        0.56381        2.08206
       -4.32000        0.30085        0.57525        2.13872
       -4.28000        0.37189        0.58856        2.20563
       -4.24000        0.47633        0.60545        2.29131
       -4.20000        0.59801        0.62689        2.40089
       -4.16000        0.73068        0.65343        2.53740
       -4.12000        0.86848        0.68542        2.70300
       -4.08000        0.99118        0.72272        2.89720
       -4.04000        1.06847        0.76410        3.11381
       -4.00000        1.08525        0.80737        3.34139
       -3.96000        1.05848        0.85033        3.56869
       -3.92000        1.02199        0.89193        3.79030
       -3.88000        0.99634        0.93225        4.00685
       -3.84000        0.97953        0.97175        4.22065
       -3.80000        0.96620        1.01065        4.43276
       -3.76000        0.96770        1.04924        4.64488
       -3.72000        1.00813        1.08859        4.86311
       -3.68000        1.10154        1.13061        5.09831
       -3.64000        1.23536        1.17726        5.36158
       -3.60000        1.37725        1.22954        5.65864
       -3.56000        1.49923        1.28717        5.98801
       -3.52000        1.59377        1.34911        6.34424
       -3.48000        1.66437        1.41435        6.72177
       -3.44000        1.70370        1.48185        7.11473
       -3.40000        1.68858        1.54992        7.51323
       -3.36000        1.60101        1.61596        7.90177
