#         width            dos          occup          e_sum
        0.13606        3.74914        8.00000       57.13192
        0.13878        3.75927        8.00029       57.13538
        0.14150        3.76914        8.00059       57.13903
        0.14422        3.77870        8.00092       57.14287
        0.14694        3.78793        8.00126       57.14690
        0.14966        3.79680        8.00162       57.15112
        0.15238        3.80528        8.00200       57.15551
        0.15510        3.81334        8.00240       57.16007
        0.15783        3.82098        8.00281       57.16481
        0.16055        3.82819        8.00324       57.16971
        0.16327        3.83494        8.00368       57.17477
        0.16599        3.84123        8.00414       57.17997
        0.16871        3.84706        8.00462       57.18532
        0.17143        3.85243        8.00510       57.19081
        0.17415        3.85734        8.00560       57.19643
        0.17687        3.86178        8.00612       57.20216
        0.17960        3.86576        8.00664       57.20801
        0.18232        3.86928        8.00717       57.21397
        0.18504        3.87235        8.00771       57.22002
        0.18776        3.87498        8.00826       57.22616
        0.19048        3.87717        8.00882       57.23238
        0.19320        3.87894        8.00939       57.23867
        0.19592        3.88029        8.00996       57.24503
        0.19864        3.88123        8.01054       57.25145
        0.20136        3.88177        8.01112       57.25791
        0.20409        3.88192        8.01171       57.26442
        0.20681        3.88170        8.01230       57.27096
        0.20953        3.88111        8.01289       57.27754
        0.21225        3.88017        8.01348       57.28413
        0.21497        3.87888        8.01407       57.29074
        0.21769        3.87727        8.01467       57.29736
        0.22041        3.87533        8.01526       57.30398
        0.22313        3.87309        8.01586       57.31061
        0.22585        3.87055        8.01645       57.31722
        0.22858        3.86773        8.01704       57.32383
        0.23130        3.86463        8.01763       57.33042
        0.23402        3.86128        8.01822       57.33699
        0.23674        3.85767        8.01880       57.34354
        0.23946        3.85382        8.01938       57.35006
        0.24218        3.84974        8.01996       57.35656
        0.24490        3.84545        8.02053       57.36302
        0.24762        3.84094        8.02110       57.36944
        0.25034        3.83623        8.02166       57.37583
        0.25307        3.83134        8.02222       57.38217
        0.25579        3.82627        8.02278       57.38848
        0.25851        3.82102        8.02332       57.39474
        0.26123        3.81561        8.02387       57.40095
        0.26395        3.81005        8.02441       57.40712
        0.26667        3.80435        8.02494       57.41323
        0.26939        3.79850        8.02547       57.41930
        0.27211        3.79253        8.02599       57.42532
